** net setting **
** dataset setting **
	WIDTH, HEIGHT = 256, 256
	train_dataset.split = train1_ids_gray2_500
	valid_dataset.split = valid1_ids_gray2_43
	len(train_dataset)  = 500
	len(valid_dataset)  = 43
	len(train_loader)   = 62
	len(valid_loader)   = 6
	batch_size  = 8
	iter_accum  = 1
	batch_size*iter_accum  = 8


--- [START 2018-03-28_07-17-35] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	out_dir      = /scratch/ly15/a000_2018-3-21_lr0.001_W256_H256_bc8_train1_ids_gray2_500_valid1_ids_gray2_43

** net setting **
net version 'mask-rcnn-resnet50-fpn'

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 500

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000   0.0 k    0.0  0.0 m | 2.005   0.17 0.44   0.70 0.00   0.69 | 0.000   0.00 0.00   0.00 0.00   0.00 | 0.000   0.00 0.00   0.00 0.00   0.00 |  0 hr 01 min
0.0010   0.1 k    1.6  0.0 m | 1.531   0.12 0.15   0.61 0.00   0.66 | 1.637   0.14 0.20   0.61 0.02   0.67 | 1.555   0.13 0.19   0.56 0.02   0.67 |  0 hr 17 min
0.0010   0.2 k    3.2  0.0 m | 1.183   0.09 0.09   0.47 0.01   0.53 | 1.426   0.10 0.13   0.55 0.04   0.60 | 1.303   0.14 0.13   0.43 0.03   0.57 |  0 hr 32 min
0.0010   0.3 k    4.8  0.0 m | 0.945   0.08 0.07   0.41 0.01   0.38 | 1.201   0.09 0.11   0.52 0.05   0.44 | 1.040   0.08 0.10   0.45 0.04   0.38 |  0 hr 47 min
0.0010   0.4 k    6.4  0.0 m | 0.864   0.06 0.06   0.43 0.01   0.30 | 1.043   0.07 0.10   0.50 0.04   0.32 | 1.054   0.06 0.11   0.55 0.04   0.29 |  1 hr 02 min
0.0010   0.5 k    8.0  0.0 m | 0.794   0.06 0.06   0.41 0.01   0.26 | 0.955   0.07 0.10   0.45 0.04   0.31 | 0.918   0.08 0.09   0.42 0.04   0.29 |  1 hr 16 min
0.0010   0.6 k    9.6  0.0 m | 0.821   0.05 0.05   0.46 0.01   0.25 | 0.895   0.07 0.09   0.44 0.03   0.27 | 0.994   0.08 0.08   0.52 0.04   0.28 |  1 hr 30 min
0.0010   0.7 k   11.2  0.0 m | 0.921   0.05 0.05   0.55 0.01   0.26 | 0.842   0.06 0.08   0.42 0.03   0.25 | 0.850   0.05 0.08   0.45 0.03   0.24 |  1 hr 44 min
0.0010   0.8 k   12.8  0.0 m | 0.738   0.05 0.05   0.41 0.01   0.22 | 0.853   0.06 0.08   0.44 0.03   0.24 | 0.862   0.05 0.07   0.47 0.03   0.23 |  1 hr 57 min
0.0010   0.9 k   14.4  0.0 m | 0.769   0.05 0.05   0.44 0.01   0.22 | 0.857   0.06 0.08   0.44 0.03   0.25 | 0.872   0.02 0.07   0.50 0.03   0.25 |  2 hr 09 min
0.0010   1.0 k   16.0  0.0 m | 0.721   0.05 0.04   0.40 0.01   0.22 | 0.809   0.06 0.07   0.42 0.03   0.23 | 0.728   0.05 0.07   0.40 0.02   0.19 |  2 hr 23 min
0.0010   1.1 k   17.6  0.0 m | 0.793   0.04 0.04   0.50 0.01   0.20 | 0.825   0.05 0.08   0.44 0.03   0.24 | 0.700   0.06 0.07   0.36 0.02   0.19 |  2 hr 35 min
0.0010   1.2 k   19.2  0.0 m | 0.663   0.04 0.04   0.38 0.01   0.19 | 0.741   0.06 0.07   0.37 0.02   0.21 | 0.783   0.04 0.07   0.44 0.02   0.20 |  2 hr 47 min
0.0010   1.3 k   20.8  0.0 m | 0.628   0.04 0.04   0.35 0.01   0.19 | 0.811   0.06 0.07   0.43 0.03   0.23 | 0.673   0.06 0.07   0.34 0.02   0.19 |  2 hr 59 min
0.0010   1.4 k   22.4  0.0 m | 0.784   0.04 0.04   0.51 0.01   0.19 | 0.769   0.05 0.07   0.42 0.02   0.21 | 0.666   0.05 0.06   0.35 0.02   0.19 |  3 hr 12 min
0.0010   1.5 k   24.0  0.0 m | 0.633   0.04 0.04   0.35 0.01   0.20 | 0.772   0.05 0.06   0.42 0.02   0.21 | 0.944   0.04 0.07   0.53 0.03   0.27 |  3 hr 25 min
0.0010   1.6 k   25.6  0.0 m | 0.663   0.04 0.04   0.38 0.01   0.19 | 0.773   0.05 0.07   0.42 0.02   0.22 | 0.714   0.05 0.06   0.39 0.02   0.19 |  3 hr 37 min
0.0010   1.7 k   27.2  0.0 m | 0.663   0.04 0.04   0.40 0.01   0.18 | 0.756   0.04 0.06   0.42 0.02   0.21 | 0.707   0.04 0.06   0.39 0.02   0.19 |  3 hr 50 min
0.0010   1.8 k   28.8  0.0 m | 0.717   0.04 0.04   0.43 0.01   0.19 | 0.736   0.05 0.06   0.41 0.02   0.20 | 0.602   0.04 0.06   0.31 0.02   0.17 |  4 hr 03 min
0.0010   1.9 k   30.4  0.0 m | 0.635   0.04 0.04   0.38 0.01   0.17 | 0.747   0.04 0.06   0.41 0.02   0.21 | 0.692   0.04 0.05   0.37 0.03   0.20 |  4 hr 16 min
0.0010   2.0 k   32.0  0.0 m | 0.661   0.03 0.03   0.40 0.01   0.18 | 0.701   0.04 0.06   0.38 0.02   0.20 | 0.940   0.04 0.06   0.57 0.03   0.25 |  4 hr 30 min
0.0010   2.1 k   33.6  0.0 m | 0.618   0.03 0.04   0.36 0.01   0.17 | 0.743   0.04 0.06   0.42 0.02   0.21 | 0.852   0.04 0.06   0.50 0.03   0.21 |  4 hr 44 min
0.0010   2.2 k   35.2  0.0 m | 0.549   0.03 0.03   0.30 0.01   0.17 | 0.717   0.04 0.06   0.40 0.02   0.20 | 0.627   0.01 0.07   0.36 0.02   0.17 |  4 hr 59 min
0.0010   2.3 k   36.8  0.0 m | 0.624   0.03 0.03   0.38 0.01   0.17 | 0.730   0.04 0.06   0.41 0.02   0.21 | 0.827   0.05 0.06   0.44 0.03   0.26 |  5 hr 12 min
0.0010   2.4 k   38.4  0.0 m | 0.624   0.03 0.03   0.38 0.01   0.17 | 0.720   0.04 0.06   0.40 0.02   0.20 | 0.597   0.04 0.05   0.31 0.02   0.18 |  5 hr 27 min
