random_seed:  100
debug:  False
batch size:  6
num_classes:  2
output_dir:  ./
model:  unet
learning_rate:  0.001
optimizer:  sgd
load_model:  True
unet unet_batch_norm:  True
unet_use_dropout:  False
unet_dropout_rate:  None
unet_channels:  64
print_every:  10
save_model_every:  100
validation_every:  1
crop_size:  224
predict:  False
lr_decay_every:  10000
lr_decay_ratio:  0.5
loading model from file..
model loaded!
gpu:  True
epoch 0 | step 9 | loss_train 0.17696575820446014 | loss_val None | lr 0.001 | time 92.38958978652954 
epoch 1 | step 19 | loss_train 0.1845722794532776 | loss_val None | lr 0.001 | time 0.3506793975830078 
epoch 1 | step 29 | loss_train 0.19295847415924072 | loss_val None | lr 0.001 | time 3.513977289199829 
epoch 2 | step 39 | loss_train 0.14214970171451569 | loss_val None | lr 0.001 | time 1.1180124282836914 
epoch 2 | step 49 | loss_train 0.11917974799871445 | loss_val None | lr 0.001 | time 3.52217698097229 
epoch 3 | step 59 | loss_train 0.10470212250947952 | loss_val None | lr 0.001 | time 1.8603053092956543 
epoch 3 | step 69 | loss_train 0.1407259702682495 | loss_val None | lr 0.001 | time 3.5235581398010254 
epoch 4 | step 79 | loss_train 0.14326472580432892 | loss_val None | lr 0.001 | time 2.6032238006591797 
epoch 4 | step 89 | loss_train 0.08979906886816025 | loss_val None | lr 0.001 | time 3.5109996795654297 
epoch 5 | step 99 | loss_train 0.09763702005147934 | loss_val None | lr 0.001 | time 3.3240230083465576 
epoch 6 | step 109 | loss_train 0.13705335557460785 | loss_val None | lr 0.001 | time 0.3665328025817871 
epoch 6 | step 119 | loss_train 0.0781664028763771 | loss_val None | lr 0.001 | time 3.4940569400787354 
epoch 7 | step 129 | loss_train 0.08598214387893677 | loss_val None | lr 0.001 | time 1.1129937171936035 
epoch 7 | step 139 | loss_train 0.09049780666828156 | loss_val None | lr 0.001 | time 3.5073256492614746 
epoch 8 | step 149 | loss_train 0.1037050113081932 | loss_val None | lr 0.001 | time 1.8501427173614502 
epoch 8 | step 159 | loss_train 0.1318681687116623 | loss_val None | lr 0.001 | time 3.4861600399017334 
epoch 9 | step 169 | loss_train 0.13751406967639923 | loss_val None | lr 0.001 | time 2.5984320640563965 
epoch 9 | step 179 | loss_train 0.10710947960615158 | loss_val None | lr 0.001 | time 3.5071768760681152 
epoch 10 | step 189 | loss_train 0.07957570254802704 | loss_val None | lr 0.001 | time 3.3279871940612793 
epoch 11 | step 199 | loss_train 0.1338309645652771 | loss_val None | lr 0.001 | time 0.3737645149230957 
epoch 11 | step 209 | loss_train 0.1142570823431015 | loss_val None | lr 0.001 | time 10.268948554992676 
epoch 12 | step 219 | loss_train 0.10431056469678879 | loss_val None | lr 0.001 | time 1.1116435527801514 
epoch 12 | step 229 | loss_train 0.06525827199220657 | loss_val None | lr 0.001 | time 3.4891560077667236 
epoch 13 | step 239 | loss_train 0.06840410828590393 | loss_val None | lr 0.001 | time 1.8430228233337402 
epoch 13 | step 249 | loss_train 0.06939902156591415 | loss_val None | lr 0.001 | time 3.4835762977600098 
epoch 14 | step 259 | loss_train 0.08730030804872513 | loss_val None | lr 0.001 | time 2.580364227294922 
epoch 14 | step 269 | loss_train 0.10448835045099258 | loss_val None | lr 0.001 | time 3.466094493865967 
epoch 15 | step 279 | loss_train 0.10202239453792572 | loss_val None | lr 0.001 | time 3.3049819469451904 
epoch 16 | step 289 | loss_train 0.09762495756149292 | loss_val None | lr 0.001 | time 0.3636748790740967 
epoch 16 | step 299 | loss_train 0.09353926032781601 | loss_val None | lr 0.001 | time 3.4805009365081787 
epoch 17 | step 309 | loss_train 0.06947119534015656 | loss_val None | lr 0.001 | time 1.1023402214050293 
epoch 17 | step 319 | loss_train 0.07663828134536743 | loss_val None | lr 0.001 | time 3.4835867881774902 
epoch 18 | step 329 | loss_train 0.06459122896194458 | loss_val None | lr 0.001 | time 1.851426362991333 
epoch 18 | step 339 | loss_train 0.08772621303796768 | loss_val None | lr 0.001 | time 3.494978904724121 
epoch 19 | step 349 | loss_train 0.10785084962844849 | loss_val None | lr 0.001 | time 2.5896799564361572 
epoch 19 | step 359 | loss_train 0.059808094054460526 | loss_val None | lr 0.001 | time 3.496694803237915 
epoch 20 | step 369 | loss_train 0.10332431644201279 | loss_val None | lr 0.001 | time 3.7648119926452637 
epoch 21 | step 379 | loss_train 0.10394420474767685 | loss_val None | lr 0.001 | time 0.3735997676849365 
epoch 21 | step 389 | loss_train 0.09730173647403717 | loss_val None | lr 0.001 | time 3.497896671295166 
epoch 22 | step 399 | loss_train 0.09074976295232773 | loss_val None | lr 0.001 | time 1.1075692176818848 
epoch 22 | step 409 | loss_train 0.10934668779373169 | loss_val None | lr 0.001 | time 12.401499271392822 
epoch 23 | step 419 | loss_train 0.08643505722284317 | loss_val None | lr 0.001 | time 1.8467559814453125 
epoch 23 | step 429 | loss_train 0.07026638835668564 | loss_val None | lr 0.001 | time 3.5012340545654297 
epoch 24 | step 439 | loss_train 0.07372446358203888 | loss_val None | lr 0.001 | time 2.593047857284546 
epoch 24 | step 449 | loss_train 0.07140620797872543 | loss_val None | lr 0.001 | time 3.4971139430999756 
epoch 25 | step 459 | loss_train 0.06503746658563614 | loss_val None | lr 0.001 | time 3.316668748855591 
epoch 26 | step 469 | loss_train 0.0642702579498291 | loss_val None | lr 0.001 | time 0.36942481994628906 
epoch 26 | step 479 | loss_train 0.08864904940128326 | loss_val None | lr 0.001 | time 3.5008251667022705 
epoch 27 | step 489 | loss_train 0.06332635134458542 | loss_val None | lr 0.001 | time 1.1027271747589111 
epoch 27 | step 499 | loss_train 0.06636636704206467 | loss_val None | lr 0.001 | time 3.8621246814727783 
epoch 28 | step 509 | loss_train 0.08052153885364532 | loss_val None | lr 0.001 | time 1.8337059020996094 
epoch 28 | step 519 | loss_train 0.07694762200117111 | loss_val None | lr 0.001 | time 3.491428852081299 
epoch 29 | step 529 | loss_train 0.10997942090034485 | loss_val None | lr 0.001 | time 2.594552516937256 
epoch 29 | step 539 | loss_train 0.0808589830994606 | loss_val None | lr 0.001 | time 3.5089259147644043 
epoch 30 | step 549 | loss_train 0.06233912706375122 | loss_val None | lr 0.001 | time 3.327735424041748 
